Id,Title,Is this an experimental talk?,State,Accepted track,Submitted for tracks,Reviewed for tracks,Accepted type,Submitted type
293,Jet R-Dependence of Dijet Asymmetry and Acoplanarity in $p$ + $p$ collisions at $\sqrt{s} = 200$ GeV with sPHENIX,No,Accepted,,Jet modification and medium response,Jet modification and medium response,Poster presentation,Poster presentation
199,Exploring jet quenching and medium recoil effects to hard probes using correlations of Z bosons to hadrons in pPb collisions with CMS,Yes,Accepted,,Jet modification and medium response,Jet modification and medium response,Poster presentation,Oral presentation
208,Constraining gluon nPDFs with open heavy-flavor production in ultraperipheral heavy ion collisions with CMS,Yes,Accepted,,"Nuclear PDFs, saturation, and early-time dynamics","Nuclear PDFs, saturation, and early-time dynamics",Poster presentation,Oral presentation
318,Collective effects in small systems in LHCb,Yes,Accepted,,High-momentum hadrons and correlations,High-momentum hadrons and correlations,Poster presentation,Oral presentation
130,Measurement of Jet Nuclear Modification in heavy ion collisions for large jet area extending to Run3 with CMS detector.,Yes,Accepted,,Jet modification and medium response,Jet modification and medium response,Poster presentation,Oral presentation
201,Insights into the collectivity and hadronization of bulk partonic matter through strange and multi-strange hadrons in OO and NeNe collisions up to high-pT in CMS,Yes,Accepted,,High-momentum hadrons and correlations,High-momentum hadrons and correlations,Poster presentation,Oral presentation
335,Deuteron identification and production at LHCb,Yes,Accepted,,Future experimental facilities and new techniques,Future experimental facilities and new techniques,Poster presentation,Oral presentation
353,sPHENIX two-particle correlations in high-multiplicity p+p collisions at 200 GeV,Yes,Accepted,,High-momentum hadrons and correlations,High-momentum hadrons and correlations,Poster presentation,Oral presentation
125,Probing the roles of color-charge and selection bias on energy loss using jet axis decorrelation with CMS,Yes,Accepted,,Jet modification and medium response,Jet modification and medium response,Poster presentation,Oral presentation
112,Measurement of $\Xi_{\mathrm{c}}^{+}$-baryon production in Pb--Pb collisions at $\sqrt{s_{\mathrm{NN}}} = 5.36~\mathrm{TeV}$ with ALICE,Yes,Accepted,,Heavy quarks and quarkonia,Heavy quarks and quarkonia,Poster presentation,Poster presentation
174,Investigating Open Heavy-Flavor and Quarkonium with the NA60+/DiCE Experiment,Yes,Accepted,,Heavy quarks and quarkonia,Heavy quarks and quarkonia,Poster presentation,Oral presentation
251,Coherent and Incoherent $\phi$ Meson Photoproduction in Ultra-Peripheral Au+Au Collisions at $\sqrt{s_{NN}}$ = 200 GeV,Yes,Accepted,,"Nuclear PDFs, saturation, and early-time dynamics","Nuclear PDFs, saturation, and early-time dynamics",Poster presentation,Oral presentation
363,"sPHENIX streaming readout of tracking detectors for novel measurements in high-rate, unbiased p+p data",Yes,Accepted,,Future experimental facilities and new techniques,Future experimental facilities and new techniques,Poster presentation,Oral presentation
284,Measurement of the  J/$\psi$ Fragmentation Function in pp Collisions at $\sqrt{s} = 13.6$ TeV with ALICE,Yes,Accepted,,Heavy quarks and quarkonia,Heavy quarks and quarkonia,Poster presentation,Poster presentation
323,Heavy-flavour hadronization studies in small systems at LHCb,Yes,Accepted,,Heavy quarks and quarkonia,Heavy quarks and quarkonia,Poster presentation,Oral presentation
316,Hadronization in heavy-flavour jets at LHCb,Yes,Accepted,,Jet modification and medium response,Jet modification and medium response,Poster presentation,Oral presentation
102,Measurement of the azimuthal correlation of $\rm{\mathbf{D^{0}}}$ mesons with charged particles in pp collisions at $\mathbf{\sqrt{\mathit{s}}} =$  13.6 TeV with ALICE,Yes,Accepted,,Heavy quarks and quarkonia,Heavy quarks and quarkonia,Poster presentation,Poster presentation
365,sPHENIX foundation model development for reconstruction and analysis,Yes,Accepted,,ML/AI and quantum computing in high-energy nuclear physics,ML/AI and quantum computing in high-energy nuclear physics,Poster presentation,Oral presentation
329,Strangeness production at LHCb,Yes,Accepted,,"Nuclear PDFs, saturation, and early-time dynamics","Nuclear PDFs, saturation, and early-time dynamics",Poster presentation,Oral presentation
258,Anisotropic flow of J/ψ measured using ALICE Run3 data,Yes,Accepted,,Heavy quarks and quarkonia,Heavy quarks and quarkonia,Poster presentation,Poster presentation
250,Measurement of the transverse-momentum fraction of (multi-)strange particles in mini-jets and its multiplicity dependence in pp collisions at √s = 13 TeV with ALICE,Yes,Accepted,,High-momentum hadrons and correlations,High-momentum hadrons and correlations,Poster presentation,Oral presentation
317,Probing nuclear geometry with flow measurements in fixed-target collisions at LHCb,Yes,Accepted,,High-momentum hadrons and correlations,High-momentum hadrons and correlations,Poster presentation,Oral presentation
197,Spin-dependent azimuthal asymmetry of coherent $J/\psi$ photoproduction in peripheral PbPb collisions with CMS,Yes,Accepted,,Electromagnetic and electroweak probes,Electromagnetic and electroweak probes,Poster presentation,Oral presentation
85,Measurement of ω and φ mesons production via forward dimuon in pp collisions at √s = 13.6 TeV with ALICE,Yes,Accepted,,Electromagnetic and electroweak probes,Electromagnetic and electroweak probes,Poster presentation,Poster presentation
228,Measurement of semi-inclusive photon-jet and $\pi^{0}$-jet yield with fully reconstructed jets in p+p and central Au+Au collisions at $\sqrt{s_{NN}}=200$ GeV by STAR,Yes,Accepted,,Jet modification and medium response,Jet modification and medium response,Poster presentation,Oral presentation
191,Design and expected performance of the ALICE ITS3 tracker upgrade,Yes,Accepted,,Future experimental facilities and new techniques,Future experimental facilities and new techniques,Poster presentation,Oral presentation
242,Measurement of soft-drop groomed jet substructure observables in $p\!+\!p$ collisions at $\sqrt{s} = 200$ GeV with the sPHENIX experiment at RHIC,Yes,Accepted,,Jet modification and medium response,Jet modification and medium response,Poster presentation,Poster presentation
364,sPHENIX novel use of generative AI for physics measurements,Yes,Accepted,,ML/AI and quantum computing in high-energy nuclear physics,ML/AI and quantum computing in high-energy nuclear physics,Poster presentation,Oral presentation
276,Probing local quantum number conservation with angular correlation measurements of charm hadrons with identified particles with ALICE,Yes,Accepted,,Heavy quarks and quarkonia,Heavy quarks and quarkonia,Poster presentation,Oral presentation
50,Low energy states and decays of a quarkonium   in strong magnetic fields,No,Submitted,,Heavy quarks and quarkonia,Heavy quarks and quarkonia,,Oral presentation
35,A Robust Signal of Dijet-Induced Diffusion Wake via Rapidity-Asymmetric Jet–Hadron Correlations in high-energy heavy-ion collisions,No,Submitted,,Jet modification and medium response,Jet modification and medium response,,Oral presentation
17,testing abstract lengh,Yes,Withdrawn,,Jet modification and medium response,Jet modification and medium response,,Oral presentation
