Id,Title,Is this an experimental talk?,State,Accepted track,Submitted for tracks,Reviewed for tracks,Accepted type,Submitted type
156,Search for jet quenching in OO collisions with the event activity dependence of hadron-jet correlations with ALICE,Yes,Accepted,,Jet modification and medium response,Jet modification and medium response,Poster presentation,Oral presentation
137,Measurement of energy correlators within single inclusive jet in high-energy heavy-ion collisions,Yes,Accepted,,Jet modification and medium response,Jet modification and medium response,Poster presentation,Oral presentation
162,Search for dark photons in $\pi^{0}$/$\eta$ Dalitz decays with the STAR detector,Yes,Accepted,,Electromagnetic and electroweak probes,Electromagnetic and electroweak probes,Poster presentation,Oral presentation
231,Disentangling the onset of collective-like behavior with underlying-event and event-structure measurements in $p$+$p$ collisions at STAR,Yes,Accepted,,High-momentum hadrons and correlations,High-momentum hadrons and correlations,Poster presentation,Oral presentation
233,Search for Diffusion Wake Signatures in Dijet Systems via Rapidity Asymmetry of Jet-Hadron Correlations in $\sqrt{s_{NN}}=200$ GeV Au+Au Collisions at STAR,Yes,Accepted,,Jet modification and medium response,Jet modification and medium response,Poster presentation,Oral presentation
375,Two-particle correlations in p+p collisions with sPHENIX,Yes,Accepted,,High-momentum hadrons and correlations,High-momentum hadrons and correlations,Poster presentation,Poster presentation
134,The first energy-dependent measurement of coherent $\rho^0$ photoproduction in PbPb UPCs with CMS,Yes,Accepted,,"Nuclear PDFs, saturation, and early-time dynamics","Nuclear PDFs, saturation, and early-time dynamics",Poster presentation,Oral presentation
219,Calorimeter-Based Jet Shape Measurements in sPHENIX,Yes,Accepted,,Jet modification and medium response,Jet modification and medium response,Poster presentation,Poster presentation
111,K*0 production in and out of jets in pp and OO collisions,Yes,Accepted,,Jet modification and medium response,Jet modification and medium response,Poster presentation,Poster presentation
248,A Novel Statistical Approach To Measure Prompt Photon Production in pp collisions at $\sqrt{s}$ = 13.6 TeV with ALICE,Yes,Accepted,,Electromagnetic and electroweak probes,Electromagnetic and electroweak probes,Poster presentation,Poster presentation
200,Measurement of energy loss and substructure in photon+jet events in central PbPb collisions at 5.36 TeV with the CMS detector,Yes,Accepted,,Jet modification and medium response,Jet modification and medium response,Poster presentation,Oral presentation
140,"Constraining Substructure-dependent Jet Energy Loss Phenomena with Isolated, Prompt Photon-Tagged Jets with ATLAS",Yes,Accepted,,Jet modification and medium response,Jet modification and medium response,Poster presentation,Poster presentation
261,Inclusive J/psi production at midrapidity in pp collisions at \sqrt(s) = 5.36 TeV with ALICE in Run3,Yes,Accepted,,Heavy quarks and quarkonia,Heavy quarks and quarkonia,Poster presentation,Poster presentation
29,Soft-dielectron measurement in pp collisions at $\sqrt{s}$=13.6 TeV with ALICE in Run 3,Yes,Accepted,,Electromagnetic and electroweak probes,Electromagnetic and electroweak probes,Poster presentation,Poster presentation
265,Measurement of $\psi$(2S) production at midrapidity in Pb--Pb Collisions at  $\sqrt{s_{\rm NN}} = 5.36$ TeV with ALICE,Yes,Accepted,,Heavy quarks and quarkonia,Heavy quarks and quarkonia,Poster presentation,Poster presentation
196,Probing the quark-gluon plasma through radial and anisotropic flow over a large $p_{T}$ range across collision systems with CMS,Yes,Accepted,,High-momentum hadrons and correlations,High-momentum hadrons and correlations,Poster presentation,Oral presentation
178,Differential probes of jet evolution with charged energy-energy correlators at ALICE,Yes,Accepted,,Jet modification and medium response,Jet modification and medium response,Poster presentation,Oral presentation
171,Probing the color-charge dependence of jet energy loss with gamma-jet and pi0-jet correlations in pp and Pb-Pb collisions with ALICE,Yes,Accepted,,Jet modification and medium response,Jet modification and medium response,Poster presentation,Oral presentation
170,Azimuthal correlations of electrons from the decay of heavy-flavour hadrons with charged particles in pp collisions at √s = 13.6 TeV with the ALICE detector,Yes,Accepted,,Heavy quarks and quarkonia,Heavy quarks and quarkonia,Poster presentation,Poster presentation
123,Measurement of the momentum imbalance $x_J$ in Z+jets events using pp and PbPb collisions at 5.36 TeV with the CMS experiment at the LHC,Yes,Accepted,,Jet modification and medium response,Jet modification and medium response,Poster presentation,Oral presentation
164,Probing Cold Nuclear Matter Effects via Identified Hadron Fragmentation in Jets at RHIC,Yes,Accepted,,Jet modification and medium response,Jet modification and medium response,Poster presentation,Oral presentation
184,Summary of searches for gluon saturation in ALICE with Run 2 data,Yes,Accepted,,"Nuclear PDFs, saturation, and early-time dynamics","Nuclear PDFs, saturation, and early-time dynamics",Poster presentation,Oral presentation
241,Dijet momentum imbalance and azimuthal correlations in Au+Au collisions at $\sqrt{s_{NN}} = 200$ GeV with the sPHENIX detector,Yes,Accepted,,Jet modification and medium response,Jet modification and medium response,Poster presentation,Poster presentation
139,New results on quarkonium suppression in pPb collisions at 8.16 TeV with CMS,Yes,Accepted,,Heavy quarks and quarkonia,Heavy quarks and quarkonia,Poster presentation,Oral presentation
83,Measurement of $\Xi_{\mathrm{c}}^{+}$-baryon production via hadronic decay channel in pp collisions with ALICE,Yes,Accepted,,Heavy quarks and quarkonia,Heavy quarks and quarkonia,Poster presentation,Poster presentation
343,sPHENIX measurements of the inclusive jet production in p+p collisions at 200 GeV,Yes,Accepted,,Jet modification and medium response,Jet modification and medium response,Poster presentation,Oral presentation
236,Search for long-range di-hadron correlations in high multiplicity $p$+$p$ collisions at $\sqrt{s}=200$~GeV with STAR,Yes,Accepted,,High-momentum hadrons and correlations,High-momentum hadrons and correlations,Poster presentation,Oral presentation
2,Recent heavy flavor jet and substructure studies for the future EIC,Yes,Submitted,,Heavy quarks and quarkonia,Heavy quarks and quarkonia,,Oral presentation
239,A Breath of Fresh Air for Molière: Elastic Scatterings in OO Collisions,No,Accepted,,Jet modification and medium response,Jet modification and medium response,Oral presentation,Oral presentation
269,Riders on the Flow: A New and Efficient Method to Compute Jet Wakes,No,Accepted,,Jet modification and medium response,Jet modification and medium response,Poster presentation,Oral presentation
271,Gluon emission by a quark-antiquark antenna with realistic parton-medium interactions,No,Withdrawn,,Jet modification and medium response,Jet modification and medium response,,Oral presentation
270,Towards azimuthally differential jet shapes with realistic parton-medium interactions,No,Withdrawn,,Jet modification and medium response,Jet modification and medium response,,Oral presentation
166,Dimuon and Charm Experiment at CERN SPS,Yes,Accepted,,Future experimental facilities and new techniques,Future experimental facilities and new techniques,Oral presentation,Oral presentation
226,Modification of the Substructure of D$^0$-Meson-Tagged Jets in Heavy-Ion Collisions at STAR,Yes,Accepted,,Jet modification and medium response,Jet modification and medium response,Oral presentation,Oral presentation
163,Exploring Cold Nuclear Matter through Forward $\pi^{0}$ Production in $p+$A Collisions at STAR,Yes,Accepted,,"Nuclear PDFs, saturation, and early-time dynamics","Nuclear PDFs, saturation, and early-time dynamics",Oral presentation,Oral presentation
230,Measurement of Two-Point Energy Correlators in Ru+Ru and Zr+Zr collisions at STAR,Yes,Accepted,,Jet modification and medium response,Jet modification and medium response,Oral presentation,Oral presentation
160,Measurement of $\gamma \gamma \rightarrow \pi^+ \pi^-$ in Au+Au collisions at STAR using the Entanglement Enabled Spin Interference effect,Yes,Accepted,,"Nuclear PDFs, saturation, and early-time dynamics","Nuclear PDFs, saturation, and early-time dynamics",Oral presentation,Oral presentation
158,Direct Photon Yield and Thermal Dielectron Flow in Isobar Collisions at STAR,Yes,Accepted,,Electromagnetic and electroweak probes,Electromagnetic and electroweak probes,Oral presentation,Oral presentation
227,Observation of jet quenching in O+O collisions at $\sqrt{s_{\mathrm {NN}}}$ = 200 GeV with the STAR experiment at RHIC,Yes,Accepted,,Jet modification and medium response,Jet modification and medium response,Oral presentation,Oral presentation
161,Probing Gluon Saturation with $J/\psi$ Spin Interference in Photoproduction at STAR,Yes,Accepted,,"Nuclear PDFs, saturation, and early-time dynamics","Nuclear PDFs, saturation, and early-time dynamics",Oral presentation,Oral presentation
235,Exploring System-Size and Energy Dependence of J/$\psi$ production with the STAR experiment,Yes,Accepted,,Heavy quarks and quarkonia,Heavy quarks and quarkonia,Oral presentation,Oral presentation
99,Dielectron measurements of heavy-flavor production and medium radiation in p+p and Au+Au collisions by PHENIX,Yes,Accepted,,Heavy quarks and quarkonia,Heavy quarks and quarkonia,Oral presentation,Oral presentation
96,Probing jet modification and substructure with gamma-hadron correlations and reconstructed jets in PHENIX,Yes,Accepted,,Jet modification and medium response,Jet modification and medium response,Oral presentation,Oral presentation
100,Low $p_T$ direct photon results with PHENIX and their bearing on the direct photon puzzle,Yes,Accepted,,Electromagnetic and electroweak probes,Electromagnetic and electroweak probes,Oral presentation,Oral presentation
93,PHENIX results on high $p_T$ direct photons and $\pi^0$ in small systems,Yes,Accepted,,Jet modification and medium response,Jet modification and medium response,Oral presentation,Oral presentation
349,sPHENIX measurements of jet production and properties in p+p collisions,Yes,Accepted,,Jet modification and medium response,Jet modification and medium response,Oral presentation,Oral presentation
348,sPHENIX measurements of jet azimuthal anisotropy and global event correlations in Au+Au collisions at 200 GeV,Yes,Accepted,,Jet modification and medium response,Jet modification and medium response,Oral presentation,Oral presentation
350,sPHENIX studies of QCD radiation in p+p collisions with energy-energy correlators and underlying event production,Yes,Accepted,,High-momentum hadrons and correlations,High-momentum hadrons and correlations,Oral presentation,Oral presentation
356,sPHENIX high-statistics measurements of strangeness production in p+p collisions,Yes,Accepted,,"Nuclear PDFs, saturation, and early-time dynamics","Nuclear PDFs, saturation, and early-time dynamics",Oral presentation,Oral presentation
345,sPHENIX measurements of dijet correlations in p+p and Au+Au collisions at 200 GeV,Yes,Accepted,,Jet modification and medium response,Jet modification and medium response,Oral presentation,Oral presentation
351,sPHENIX new measurements of heavy flavor hadronization in p+p collisions at RHIC,Yes,Accepted,,Heavy quarks and quarkonia,Heavy quarks and quarkonia,Oral presentation,Oral presentation
347,sPHENIX measurements of photon-jet correlations in p+p and Au+Au collisions,Yes,Accepted,,Jet modification and medium response,Jet modification and medium response,Oral presentation,Oral presentation
354,sPHENIX measurement of isolated prompt photon production in p+p collisions at 200 GeV,Yes,Accepted,,Electromagnetic and electroweak probes,Electromagnetic and electroweak probes,Oral presentation,Oral presentation
334,Prospects for heavy-ion data-taking with the LHCb Upgrade II,Yes,Accepted,,Future experimental facilities and new techniques,Future experimental facilities and new techniques,Oral presentation,Oral presentation
325,Heavy-flavour production in fixed-target mode at LHCb,Yes,Accepted,,Heavy quarks and quarkonia,Heavy quarks and quarkonia,Oral presentation,Oral presentation
331,Recent results in Ultra-Peripheral collisions at LHCb,Yes,Accepted,,"Nuclear PDFs, saturation, and early-time dynamics","Nuclear PDFs, saturation, and early-time dynamics",Oral presentation,Oral presentation
320,"Heavy flavour production from pp, light- and heavy-ion collisions at LHCb",Yes,Accepted,,Heavy quarks and quarkonia,Heavy quarks and quarkonia,Oral presentation,Oral presentation
315,Jet substructure measurements at LHCb,Yes,Accepted,,Jet modification and medium response,Jet modification and medium response,Oral presentation,Oral presentation
330,Probing nuclear structure at LHCb,Yes,Accepted,,"Nuclear PDFs, saturation, and early-time dynamics","Nuclear PDFs, saturation, and early-time dynamics",Oral presentation,Oral presentation
370,Jet substructure correlations in the archived ALEPH e+e- data at 91.2 GeV,Yes,Accepted,,Jet modification and medium response,Jet modification and medium response,Oral presentation,Oral presentation
292,Measurement of two-particle correlation in high energy e+e- collisions with enhanced W⁺W⁻ contributions using the ALEPH archived data,Yes,Accepted,,High-momentum hadrons and correlations,High-momentum hadrons and correlations,Oral presentation,Oral presentation
371,Measurements of track energy-energy correlators in $e^{+}e^{-}$ collisions using DELPHI open data,Yes,Accepted,,High-momentum hadrons and correlations,High-momentum hadrons and correlations,Oral presentation,Oral presentation
132,The Lund jet plane in OO collisions,Yes,Accepted,,Jet modification and medium response,Jet modification and medium response,Oral presentation,Oral presentation
203,"Modification of jet shapes and energy-energy correlators in pp, OO, NeNe, and PbPb collisions",Yes,Accepted,,Jet modification and medium response,Jet modification and medium response,Oral presentation,Oral presentation
126,First observation of the jet-induced diffusion wake in PbPb dijet events,Yes,Accepted,,Jet modification and medium response,Jet modification and medium response,Oral presentation,Oral presentation
128,Azimuthal anisotropy of charged particles with transverse momentum up to 50 GeV in OO collisions from the CMS detector,Yes,Accepted,,High-momentum hadrons and correlations,High-momentum hadrons and correlations,Oral presentation,Oral presentation
127,Identifying Quenched Jets in CMS Using Machine Learning,Yes,Accepted,,Future experimental facilities and new techniques,Future experimental facilities and new techniques,Oral presentation,Oral presentation
204,Probing charm quark collectivity through J/ψ elliptic flow in OO collisions with CMS,Yes,Accepted,,Heavy quarks and quarkonia,Heavy quarks and quarkonia,Oral presentation,Oral presentation
138,Probing parton energy loss via identified strange hadrons (K^0_S and Lambda) in OO collisions at \sqrt{s_{NN}} = 5.36 TeV with CMS,Yes,Accepted,,High-momentum hadrons and correlations,High-momentum hadrons and correlations,Oral presentation,Oral presentation
210,B-hadron identification in b-jets using novel deep learning technique in pp and PbPb collisions in CMS,Yes,Accepted,,ML/AI and quantum computing in high-energy nuclear physics,ML/AI and quantum computing in high-energy nuclear physics,Oral presentation,Oral presentation
135,Measurement of charged particle nuclear modification factor in OO and study of nPDF effects using pO collisions,Yes,Accepted,,High-momentum hadrons and correlations,High-momentum hadrons and correlations,Oral presentation,Oral presentation
205,"High-pT Triggered Dihadron correlations in OO, NeNe and pO collisions in CMS",Yes,Accepted,,High-momentum hadrons and correlations,High-momentum hadrons and correlations,Oral presentation,Oral presentation
207,Constraining heavy-quark gluon splittings in high-\pt heavy-quark tagged jets,Yes,Accepted,,Jet modification and medium response,Jet modification and medium response,Oral presentation,Oral presentation
131,Probing Charm Hadronisation through Baryon-Meson and Strangeness-Sensitive Flow Measurements at CMS.,Yes,Accepted,,Heavy quarks and quarkonia,Heavy quarks and quarkonia,Oral presentation,Oral presentation
136,Measurement of Top quark pair production in Run3 PbPb collisions at 5.36 TeV with CMS,Yes,Accepted,,"Nuclear PDFs, saturation, and early-time dynamics","Nuclear PDFs, saturation, and early-time dynamics",Oral presentation,Oral presentation
209,Rapidity-dependent measurement of the D0 production in proton-oxygen collisions with CMS,Yes,Accepted,,"Nuclear PDFs, saturation, and early-time dynamics","Nuclear PDFs, saturation, and early-time dynamics",Oral presentation,Oral presentation
198,Evidence of medium response in PbPb and the first Z-hadron correlation mesurement in pPb collisions,Yes,Accepted,,Jet modification and medium response,Jet modification and medium response,Oral presentation,Oral presentation
124,Early EM fields in PbPb collisions via their effect on dimuon decays of Z bosons with CMS,Yes,Accepted,,Electromagnetic and electroweak probes,Electromagnetic and electroweak probes,Oral presentation,Oral presentation
180,On the hunt for thermal radiation with low-mass dileptons in ALICE,Yes,Accepted,,Electromagnetic and electroweak probes,Electromagnetic and electroweak probes,Oral presentation,Oral presentation
179,Probing jet-hadrochemistry modifications with measurements of identified particles in jets and the underlying event in pp and Pb--Pb collisions with ALICE,Yes,Accepted,,Jet modification and medium response,Jet modification and medium response,Oral presentation,Oral presentation
181,Vector meson production and polarisation in pp and OO collisions with ALICE,Yes,Accepted,,"Nuclear PDFs, saturation, and early-time dynamics","Nuclear PDFs, saturation, and early-time dynamics",Oral presentation,Oral presentation
281,Charm-hadron elliptic flow from small to large collision systems with ALICE,Yes,Accepted,,Jet modification and medium response,Jet modification and medium response,Oral presentation,Oral presentation
173,Probing jet modifications in the QGP using Energy Correlators in Pb-Pb collisions at $\sqrt {s_\mathrm{NN}}$ = 5.02 TeV with ALICE,Yes,Accepted,,Jet modification and medium response,Jet modification and medium response,Oral presentation,Oral presentation
290,Quarkonia production in heavy-ion collisions with ALICE,Yes,Accepted,,Heavy quarks and quarkonia,Heavy quarks and quarkonia,Oral presentation,Oral presentation
257,Investigation of early magnetic field and angular momentum in Pb-Pb collisions via D$^{*+}$-meson spin alignment with ALICE,Yes,Accepted,,"Nuclear PDFs, saturation, and early-time dynamics","Nuclear PDFs, saturation, and early-time dynamics",Oral presentation,Oral presentation
157,Investigating the origins of jet quenching with precision measurements of inclusive and semi-inclusive jet modifications with ALICE,Yes,Accepted,,Jet modification and medium response,Jet modification and medium response,Oral presentation,Oral presentation
175,Probing medium properties with jet energy flow modification in heavy-ion collisions with ALICE,Yes,Accepted,,Jet modification and medium response,Jet modification and medium response,Oral presentation,Oral presentation
187,Exclusive four pion photoproduction in ultraperipheral Pb-Pb collisions with ALICE,Yes,Accepted,,"Nuclear PDFs, saturation, and early-time dynamics","Nuclear PDFs, saturation, and early-time dynamics",Oral presentation,Oral presentation
280,Probing fragmentation and hadronization with jets tagged with charm baryons and mesons with ALICE in pp collisions,Yes,Accepted,,Heavy quarks and quarkonia,Heavy quarks and quarkonia,Oral presentation,Oral presentation
190,ALICE 3: a next-generation heavy-ion detector for LHC Run 5,Yes,Accepted,,Future experimental facilities and new techniques,Future experimental facilities and new techniques,Oral presentation,Oral presentation
182,Neutral pion nuclear modification factor in OO and pO collisions,Yes,Accepted,,Jet modification and medium response,Jet modification and medium response,Oral presentation,Oral presentation
185,New probes of nuclear gluon dynamics in inelastic ultraperipheral Pb-Pb collisions in ALICE,Yes,Accepted,,"Nuclear PDFs, saturation, and early-time dynamics","Nuclear PDFs, saturation, and early-time dynamics",Oral presentation,Oral presentation
254,Multiplicity-dependent strangeness production in and out-of-jets in pp and OO collisions with ALICE,Yes,Accepted,,High-momentum hadrons and correlations,High-momentum hadrons and correlations,Oral presentation,Oral presentation
256,Charm and beauty production in pp collisions with ALICE,Yes,Accepted,,Heavy quarks and quarkonia,Heavy quarks and quarkonia,Oral presentation,Oral presentation
291,J/𝜓 photoproduction and polarization in peripheral Pb-Pb collisions with ALICE,Yes,Accepted,,Heavy quarks and quarkonia,Heavy quarks and quarkonia,Oral presentation,Oral presentation
218,"Jet-like dihadron correlations in pO, OO, and Ne–Ne collisions with ALICE",Yes,Accepted,,High-momentum hadrons and correlations,High-momentum hadrons and correlations,Oral presentation,Oral presentation
177,Mapping jet substructure with the Lund Plane and time re-clustering in pp collisions with ALICE,Yes,Accepted,,Jet modification and medium response,Jet modification and medium response,Oral presentation,Oral presentation
260,Strangeness effects on heavy-quark hadronization from small to large systems with ALICE,Yes,Accepted,,Heavy quarks and quarkonia,Heavy quarks and quarkonia,Oral presentation,Oral presentation
176,Measurement of subjet fragmentation in pp and Pb--Pb collisions with ALICE,Yes,Accepted,,Jet modification and medium response,Jet modification and medium response,Oral presentation,Oral presentation
299,Quarkonia production and flow in light-ions collisions with ALICE,Yes,Accepted,,Heavy quarks and quarkonia,Heavy quarks and quarkonia,Oral presentation,Oral presentation
252,Hadron–strangeness correlations as a function of multiplicity in pp and p-Pb collisions with ALICE,Yes,Accepted,,High-momentum hadrons and correlations,High-momentum hadrons and correlations,Oral presentation,Oral presentation
188,ALICE Forward Calorimeter upgrade (FoCal): physics program and expected performance,Yes,Accepted,,Future experimental facilities and new techniques,Future experimental facilities and new techniques,Oral presentation,Oral presentation
283,"Quarkonia collectivity in proton-proton, Pb-Pb collisions with ALICE",Yes,Accepted,,Heavy quarks and quarkonia,Heavy quarks and quarkonia,Oral presentation,Oral presentation
56,Measurement of production and suppression of $J/\psi$ in correlation with jet activity in $pp$ and Pb+Pb collisions using ATLAS detector,Yes,Accepted,,Heavy quarks and quarkonia,Heavy quarks and quarkonia,Oral presentation,Oral presentation
54,Observation of top-quark pair production in Pb+Pb collisions at 5.02 TeV with ATLAS,Yes,Accepted,,"Nuclear PDFs, saturation, and early-time dynamics","Nuclear PDFs, saturation, and early-time dynamics",Oral presentation,Oral presentation
67,Probing Parton Energy Loss with Dijets and Jet Azimuthal Anisotropies in Light-Ion Collisions with ATLAS,Yes,Accepted,,Jet modification and medium response,Jet modification and medium response,Oral presentation,Oral presentation
66,Probing medium effects in light-ion collisions with charged-hadron and inclusive jet measurements at ATLAS,Yes,Accepted,,Jet modification and medium response,Jet modification and medium response,Oral presentation,Oral presentation
55,Measurements of correlations between $Z$ bosons or $\Upsilon$ mesons and inclusive charged particles in small systems with ATLAS,Yes,Accepted,,Electromagnetic and electroweak probes,Electromagnetic and electroweak probes,Oral presentation,Oral presentation
65,Observation of parton shower modification in O+O collisions via gamma+hadron correlations with ATLAS,Yes,Accepted,,High-momentum hadrons and correlations,High-momentum hadrons and correlations,Oral presentation,Oral presentation
62,Measurements of flavor-dependent jet suppression in Pb+Pb collisions with ATLAS,Yes,Accepted,,Jet modification and medium response,Jet modification and medium response,Oral presentation,Oral presentation
64,Probing jet quenching via jet substructure measurements in Pb+Pb collisions with ATLAS,Yes,Accepted,,Jet modification and medium response,Jet modification and medium response,Oral presentation,Oral presentation
52,Measurements of $J/\psi$ and impact of coincident photon induced processes in ultra-peripheral Pb+Pb collisions at $\sqrt{s_\mathrm{NN}}=5.36$ TeV with the ATLAS detector,Yes,Accepted,,"Nuclear PDFs, saturation, and early-time dynamics","Nuclear PDFs, saturation, and early-time dynamics",Oral presentation,Oral presentation
146,Heavy quark drag coefficient using phonon-heavy quark EFT ($\phi$-EFT),No,Accepted,,Heavy quarks and quarkonia,Heavy quarks and quarkonia,Oral presentation,Oral presentation
368,Measurements of Energy Correlators from low to high multiplicity events in archived $e^{+}e^{-}$ ALEPH data,Yes,Accepted,,High-momentum hadrons and correlations,High-momentum hadrons and correlations,Poster presentation,Oral presentation
382,Charmonia at Finite Momentum and Spatial Correlators in Quark-Gluon Plasma,No,Accepted,,Heavy quarks and quarkonia,Heavy quarks and quarkonia,Poster presentation,Oral presentation
312,Dynamical soft--hard hadron correlations across momentum scales in the quark--gluon plasma,No,Accepted,,High-momentum hadrons and correlations,High-momentum hadrons and correlations,Poster presentation,Oral presentation
289,Toward a Complete Description of Partonic Interactions in JETSCAPE,No,Accepted,,Jet modification and medium response,Jet modification and medium response,Poster presentation,Oral presentation
300,Properties of open heavy-flavor probes from lattice QCD,No,Accepted,,Heavy quarks and quarkonia,Heavy quarks and quarkonia,Poster presentation,Oral presentation
314,Dynamical approach of quarkonium suppression in small systems,No,Accepted,,Heavy quarks and quarkonia,Heavy quarks and quarkonia,Poster presentation,Oral presentation
358,"Photon Production, Photon Enhancement and Photon Absorption in a Monte Carlo Framework",No,Accepted,,Electromagnetic and electroweak probes,Electromagnetic and electroweak probes,Poster presentation,Oral presentation
374,Quarkonium properties at non-zero temperature from lattice QCD,No,Accepted,,Heavy quarks and quarkonia,Heavy quarks and quarkonia,Poster presentation,Oral presentation
309,Impact of Nuclear Deformation and Gluon-Splitting–Induced BSQ Fluctuations on CME Observables in Isobar Collisions,No,Accepted,,"Nuclear PDFs, saturation, and early-time dynamics","Nuclear PDFs, saturation, and early-time dynamics",Poster presentation,Oral presentation
357,Extraction of Fragmentation Function of Photons using JetScape,No,Accepted,,Jet modification and medium response,Jet modification and medium response,Poster presentation,Oral presentation
341,Enhanced high-$p_T$ $X(3872)$ Production via Correlated $c\bar{c}$ Color-Octet Pairs from Jet Fragmentation,No,Accepted,,Heavy quarks and quarkonia,Heavy quarks and quarkonia,Poster presentation,Oral presentation
305,Generalized background subtraction of N-point energy correlator in Heavy Ion Collisions,No,Accepted,,High-momentum hadrons and correlations,High-momentum hadrons and correlations,Poster presentation,Oral presentation
288,"Massively Scaling Up Jet Modification Analysis: Global Curated Data, Analysis Infrastructure, and Tools",No,Accepted,,Future experimental facilities and new techniques,Future experimental facilities and new techniques,Poster presentation,Oral presentation
384,Studying properties of baryon-dominated matter with dileptons,Yes,Accepted,,Electromagnetic and electroweak probes,Electromagnetic and electroweak probes,Poster presentation,Oral presentation
387,Measuring thermal dimuons at high baryochemical potential with the NA60+/DiCE experiment at the CERN SPS,Yes,Accepted,,Electromagnetic and electroweak probes,Electromagnetic and electroweak probes,Poster presentation,Oral presentation
360,Letting the data speak for itself: Model-Agnostic Hadronization at the EIC using a new Event Generator,No,Accepted,,ML/AI and quantum computing in high-energy nuclear physics,ML/AI and quantum computing in high-energy nuclear physics,Poster presentation,Oral presentation
359,Quarkonium Spectroscopy in Strongly Coupled QGP,No,Accepted,,Heavy quarks and quarkonia,Heavy quarks and quarkonia,Poster presentation,Oral presentation
340,Observable sensitivity to evolution of charm quark in the early phases of relativistic heavy-ion collisions,No,Accepted,,Heavy quarks and quarkonia,Heavy quarks and quarkonia,Poster presentation,Oral presentation
383,Jet quenching and medium response via hadron chemistry around jet with the CoLBT-Hydro model,No,Accepted,,Jet modification and medium response,Jet modification and medium response,Poster presentation,Oral presentation
303,Deterministic AI Surrogate Modeling for Fast Hydrodynamic Evolution of the Quark Gluon Plasma,No,Accepted,,ML/AI and quantum computing in high-energy nuclear physics,ML/AI and quantum computing in high-energy nuclear physics,Poster presentation,Oral presentation
344,Elucidating the origin of the apparent strangeness enhancement with multiplicity in the jet-like region measured in pp collisions at 13 TeV,No,Accepted,,High-momentum hadrons and correlations,High-momentum hadrons and correlations,Poster presentation,Oral presentation
306,Quantum Interference Effects in Jet-Induced Recoils,No,Accepted,,Jet modification and medium response,Jet modification and medium response,Poster presentation,Oral presentation
380,Jet substructure as a probe of event-by-event hydrodynamic fluctuations with JEWEL+v-USPhydro,No,Accepted,,Jet modification and medium response,Jet modification and medium response,Poster presentation,Oral presentation
352,Diffusion Dynamics of Charm-Quark Number in the QGP.,No,Accepted,,Heavy quarks and quarkonia,Heavy quarks and quarkonia,Poster presentation,Oral presentation
381,A quantification of in-jet azimuthal asymmetry for jets in e+e- collisions at 91.2 GeV using the archived ALEPH data,Yes,Accepted,,Jet modification and medium response,Jet modification and medium response,Poster presentation,Oral presentation
298,Event-shape engineering for jet tomography,No,Accepted,,Jet modification and medium response,Jet modification and medium response,Poster presentation,Oral presentation
321,Potential QGP signatures in jets in pp collisions with the combined SUBA-Jet and EPOS4 framework,No,Accepted,,Jet modification and medium response,Jet modification and medium response,Poster presentation,Oral presentation
307,Color screening in the pre-equilibrium glasma,No,Accepted,,Heavy quarks and quarkonia,Heavy quarks and quarkonia,Poster presentation,Oral presentation
373,Anti-$k_T$ jet spectra measurement for small- and large-size jets up to R = 1.2 using $e^+e^-$ collisions at 91.2 GeV with the ALEPH archived data,Yes,Accepted,,Future experimental facilities and new techniques,Future experimental facilities and new techniques,Poster presentation,Oral presentation
240,Fluctuation-dissipation theorem for jets in QGP,No,Accepted,,Jet modification and medium response,Jet modification and medium response,Poster presentation,Oral presentation
167,Resolving jet substructure in the QGP through (de)coherent quenching at NLO,No,Accepted,,Jet modification and medium response,Jet modification and medium response,Poster presentation,Oral presentation
192,Fast prediction of the hydrodynamic QGP evolution in ultra-relativistic heavy-ion collisions using Fourier Neural Operators,No,Accepted,,ML/AI and quantum computing in high-energy nuclear physics,ML/AI and quantum computing in high-energy nuclear physics,Poster presentation,Oral presentation
246,Jet Drift in Heavy-Ion Collision: Acoplanarity and v2,No,Accepted,,Jet modification and medium response,Jet modification and medium response,Poster presentation,Oral presentation
268,Rapidity-Dependent Spin Polarization of Charm Quarks in the Glasma,No,Accepted,,Heavy quarks and quarkonia,Heavy quarks and quarkonia,Poster presentation,Oral presentation
274,From Lead to Helium: Discovery Potential for Jet Quenching in the Smallest Collision Systems,No,Accepted,,High-momentum hadrons and correlations,High-momentum hadrons and correlations,Poster presentation,Oral presentation
275,Anisotropic flow of charmonium states in relativistic heavy ion collisions,No,Accepted,,Heavy quarks and quarkonia,Heavy quarks and quarkonia,Poster presentation,Oral presentation
223,Impact of Magnetic Field-Induced Anisotropy on Pre-Equilibrium Dynamics,No,Accepted,,"Nuclear PDFs, saturation, and early-time dynamics","Nuclear PDFs, saturation, and early-time dynamics",Poster presentation,Oral presentation
243,Impact of the thermal photon rate uncertainty on the direct photon puzzle,No,Accepted,,Electromagnetic and electroweak probes,Electromagnetic and electroweak probes,Poster presentation,Oral presentation
213,Causality of jets coupled to relativistic viscous hydrodynamic simulations,No,Accepted,,Jet modification and medium response,Jet modification and medium response,Poster presentation,Oral presentation
247,Tracing the evolution of nuclear excitation at the future Electron-Ion Collider,No,Accepted,,Future experimental facilities and new techniques,Future experimental facilities and new techniques,Poster presentation,Oral presentation
